#  ID	"RA	"	DEC	MAG_F160W	MAGERR_F160W	FWHM	STELLARITY	ELLIPTICITY	THETA	Z_BPZ	ZMIN_BPZ	ZMAX_BPZ	ODDS_BPZ	CHISQ2_BPZ	STAR	WEIGHT	NRS_F110W	NRS_F140X	NRS_CLEAR	REFERENCE
6155	53.12647838	-27.79429543	23.807	0.018	29.07	0.03	0.3	-39.7	3.181	3	3.36	0.996	0.857	0	11	24.403	-99	23.807	TRUE
23989	53.16927785	-27.76207688	99	29.178	3.53	0.93	0.015	-48.8	3.18	2.74	3.45	0.85	0.851	0	11	29.112	-99	99	TRUE
2449	53.17668223	-27.80433852	99	28.856	5.71	0.57	0.152	-19.3	3.18	0.93	3.62	0.436	1.174	0	11	28.937	-99	99	TRUE
7160	53.18980605	-27.78293356	99	29.269	4.63	0.21	0.104	33.5	3.18	2.8	3.45	0.876	0.538	0	11	99	-99	99	TRUE
2403	53.17539321	-27.80459472	99	29.54	5.46	0.13	0.142	-2.8	3.18	2.14	3.5	0.691	0.72	0	11	99	-99	99	TRUE
3568	53.18270459	-27.79842415	27.38	0.192	5.76	0.08	0.298	-26.4	3.18	0.45	3.48	0.518	0.429	0	11	28.946	-99	27.38	TRUE
480	53.15283906	-27.82074526	26.563	0.116	10.56	0.03	0.357	32.5	3.18	2.81	3.42	0.883	0.502	0	11	26.989	-99	26.563	TRUE
5690	53.13512439	-27.79227701	26.586	0.122	7.17	0.03	0.368	51.4	3.18	2.79	3.4	0.862	1.002	0	11	27.041	-99	26.586	TRUE
8002	53.16492565	-27.76512153	23.767	0.004	25.87	0.03	0.375	33.9	3.18	3	3.36	0.996	0.184	0	11	24.128	23.96	23.767	TRUE
937	53.16538187	-27.81599276	27.261	0.165	9.68	0.02	0.407	-48	3.18	2.78	3.45	0.85	1.651	0	11	28.109	-99	27.261	TRUE
62	53.16621792	-27.82859313	99	28.633	14.47	0	0.525	-53.1	3.18	0.16	3.44	0.641	0.964	0	11	28.615	-99	99	TRUE
457	53.17344647	-27.82101878	27.269	0.269	16.83	0	0.439	69.3	3.18	0.37	3.47	0.793	0.803	0	11	27.851	-99	27.269	TRUE
